DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count
593,226.4415540817388,14.962899211567892,15.610327926511795,181.6196466262213,10.336126476975723,20868,0,0,0,0,0,1872517.2383316695,66,3,1,3,7,4,0
594,258.99854467797854,4.71773413507876,17.564392914011652,53.54161235543233,25.595679266302962,7590,0,0,0,0,0,780226.4573760235,123,4,1,18,16,1,0
595,157.9797131286064,3.7781804992115053,5.437842882469756,143.84281988422129,4.169457437050787,16027,0,0,0,0,0,1434017.7852937419,75,0,0,14,24,0,0
596,502.3112258577743,0.0,29.74945943879859,88.1111104485924,380.1431892747004,24814,0,0,0,0,0,1939089.003379855,50,3,1,1,6,8,0
597,276.76544815819676,0.0,52.65786484586066,217.52123262128316,2.9295185842946796,22697,0,0,0,0,0,1599423.4375827848,16,0,0,0,12,1,0
598,54.734904048771426,7.555068333015282,9.315331261109089,37.03236312990393,0.17934893792785078,8532,0,0,0,0,0,752146.6900130152,54,7,0,8,5,2,0
599,108.58804590469778,4.014419615933769,9.712702887547325,88.16403994576103,6.264729689390907,12772,0,0,0,0,0,972260.1200315009,4,0,0,1,2,0,0
600,278.5379568419505,0.0,38.73238313391409,158.2164546831588,80.85100421668058,19413,0,0,0,0,0,1474866.5983495605,3,0,0,0,0,1,0
601,118.0856601530544,4.567128981573945,14.582381396241372,92.78385386659211,3.8791364852923267,15921,0,0,0,0,0,1323337.4215970284,89,10,0,13,4,3,1
602,134.30422158455593,0.0,33.83605399473068,73.94122197314825,21.57609726886634,7309,0,0,0,0,0,526765.8811638441,8,0,0,0,5,1,0
603,76.42461643883694,3.9827687084688144,9.29361895734527,62.20123690028643,0.0,5891,0,0,0,0,0,589120.3935871598,7,0,0,0,2,0,0
604,320.6112238176337,10.046220376709226,42.52584598663844,253.61288790141336,0.7439633169875375,27224,0,0,0,0,0,1828350.7097941386,29,0,0,2,23,0,0
605,283.7714543542741,20.01242234770091,57.66725822303922,180.87983518574106,19.260538162816175,33649,0,0,0,0,0,2122187.676596132,57,3,0,6,15,2,0
606,102.62404558187494,10.880847034687243,9.531694357203873,76.80058794774659,4.458990128595058,10282,0,0,0,0,0,938971.3872296421,28,1,0,3,12,1,0
607,429.5837814074352,12.263049112087574,60.44579953761548,288.96074643968774,63.294877721081924,40774,0,0,0,0,0,3407185.634894943,105,10,0,13,10,4,1
608,94.28768337129728,6.54165257622881,9.367605554281006,76.64996578098516,1.237312685740254,5879,0,0,0,0,0,482731.6226443383,6,0,0,0,1,0,0
